"id","title","release_date","popularity","vote_average","vote_count","budget","revenue","runtime","Year","Film","Producer(s)","Year_Numeric","Is_Oscar_Winner"
2155,"Reindeer Games","2000-02-25",3.2726,5.711,723,42000000,32168970,104,NA,NA,NA,NA,"No"
10393,"The Replacements","2000-08-11",3.1864,6.69,1064,50000000,50054511,118,NA,NA,NA,NA,"No"
98299,"Hurricane Touchdown","2000-07-08",3.1726,6.9,46,0,0,62,NA,NA,NA,NA,"No"
10461,"Get Carter","2000-10-06",3.1372,5.216,649,63600000,19412993,102,NA,NA,NA,NA,"No"
2069,"The Whole Nine Yards","2000-02-18",3.1029,6.466,2061,41300000,106371651,98,NA,NA,NA,NA,"No"
13785,"Best in Show","2000-09-29",3.0621,6.881,664,0,0,90,NA,NA,NA,NA,"No"
10876,"Quills","2000-11-22",3.0614,7.124,716,13500000,17989227,124,NA,NA,NA,NA,"No"
15653,"An Extremely Goofy Movie","2000-02-29",3.0601,6.435,691,0,0,79,NA,NA,NA,NA,"No"
7450,"Titan A.E.","2000-06-16",3.0532,6.619,1175,75000000,36754634,95,NA,NA,NA,NA,"No"
2332,"Taxi 2","2000-03-25",2.9919,6.275,1883,10500000,64433844,82,NA,NA,NA,NA,"No"
10564,"Where the Heart Is","2000-04-27",2.9709,7.099,741,15000000,33800000,120,NA,NA,NA,NA,"No"
16340,"Rugrats in Paris: The Movie","2000-11-17",2.9678,6.7,484,30000000,103291131,79,NA,NA,NA,NA,"No"
1163,"The Miracle Worker","2000-11-12",2.9618,7.154,39,0,0,95,NA,NA,NA,NA,"No"
9871,"Ginger Snaps","2000-12-11",2.9521,6.931,976,5000000,0,108,NA,NA,NA,NA,"No"
10481,"102 Dalmatians","2000-10-07",2.9366,5.506,1464,85000000,183611771,100,NA,NA,NA,NA,"No"
5551,"Space Cowboys","2000-08-04",2.9208,6.393,1513,65000000,128900000,130,NA,NA,NA,NA,"No"
8859,"Dude, Where's My Car?","2000-12-15",2.9014,5.531,2069,13000000,73180723,83,NA,NA,NA,NA,"No"
10577,"Dracula 2000","2000-12-22",2.8641,5.242,743,28000000,47053625,99,NA,NA,NA,NA,"No"
16,"Dancer in the Dark","2000-09-01",2.8212,7.848,1994,12500000,40061153,140,NA,NA,NA,NA,"No"
14181,"Boiler Room","2000-02-18",2.7636,6.717,735,7000000,28780255,119,NA,NA,NA,NA,"No"
248058,"Kissing My Sister","2000-04-18",2.7595,6.3,20,0,0,90,NA,NA,NA,NA,"No"
11849,"Dungeons & Dragons","2000-12-08",2.7294,4.4,681,35000000,15185241,107,NA,NA,NA,NA,"No"
11983,"Proof of Life","2000-12-08",2.7244,6.137,859,65000000,62761005,135,NA,NA,NA,NA,"No"
129,"Spirited Away","2001-07-20",29.8419,8.534,18237,19000000,274925095,125,NA,NA,NA,NA,"No"
120,"The Lord of the Rings: The Fellowship of the Ring","2001-12-18",29.038,8.433,27424,93000000,871368364,179,NA,NA,NA,NA,"No"
808,"Shrek","2001-05-18",24.6079,7.759,18650,60000000,488977919,90,NA,NA,NA,NA,"No"
671,"Harry Potter and the Philosopher's Stone","2001-11-16",24.4643,7.898,29463,125000000,976475550,152,NA,NA,NA,NA,"No"
585,"Monsters, Inc.","2001-11-01",19.621,7.848,19689,115000000,579700000,92,NA,NA,NA,NA,"No"
1734,"The Mummy Returns","2001-05-04",12.5427,6.398,7628,98000000,443280904,130,NA,NA,NA,NA,"No"
6312,"Brotherhood of the Wolf","2001-01-31",11.2061,6.723,1705,29000000,70800000,151,NA,NA,NA,NA,"No"
5175,"Rush Hour 2","2001-08-03",10.7342,6.759,4564,90000000,347325802,90,NA,NA,NA,NA,"No"
11770,"Shaolin Soccer","2001-07-05",10.7016,7.153,2507,10000005,42776760,113,NA,NA,NA,NA,"No"
161,"Ocean's Eleven","2001-12-07",10.5959,7.458,12486,85000000,450717150,116,NA,NA,NA,NA,"No"
4248,"Scary Movie 2","2001-07-04",9.836,5.815,5118,45000000,141220678,82,NA,NA,NA,NA,"No"
8835,"Legally Blonde","2001-07-13",9.3678,6.805,4512,18000000,141778365,96,NA,NA,NA,NA,"No"
9880,"The Princess Diaries","2001-08-03",9.2406,6.962,5253,37000000,165335153,115,NA,NA,NA,NA,"No"
453,"A Beautiful Mind","2001-12-14",9.1773,7.855,11033,58000000,316791257,135,"2001(74th)","A Beautiful Mind","Brian Grazer and Ron Howard",2001,"Yes"
1364,"Sex and Lucía","2001-08-24",9.14,6.669,623,0,7640680,128,NA,NA,NA,NA,"No"
1018,"Mulholland Drive","2001-06-06",9.1263,7.801,6998,15000000,20289986,147,NA,NA,NA,NA,"No"
855,"Black Hawk Down","2001-12-28",9.0307,7.392,6329,92000000,172989651,145,NA,NA,NA,NA,"No"
194,"Amélie","2001-04-25",8.3445,7.919,12352,10000000,173921954,122,NA,NA,NA,NA,"No"
2034,"Training Day","2001-10-05",8.1244,7.519,6550,45000000,104900000,122,NA,NA,NA,NA,"No"
141,"Donnie Darko","2001-01-19",7.6385,7.8,13355,4500000,7500000,114,NA,NA,NA,NA,"No"
644,"A.I. Artificial Intelligence","2001-06-29",7.6173,7.055,6627,100000000,235926552,146,NA,NA,NA,NA,"No"
2057,"Original Sin","2001-05-08",7.5417,6.133,898,42000000,35402320,116,NA,NA,NA,NA,"No"
1933,"The Others","2001-08-02",7.4664,7.617,7129,17000000,210002906,101,NA,NA,NA,NA,"No"
